alias,정식명
3s,3S
Aj네트웍스,AJ네트웍스
Ak홀딩스,AK홀딩스
Aps,APS
Ap시스템,AP시스템
Ap위성,AP위성
Ap헬스케어,AP헬스케어
Bf랩스,BF랩스
Bgf,BGF
Bgf리테일,BGF리테일
Bgf에코머티리얼즈,BGF에코머티리얼즈
Bnk금융지주,BNK금융지주
Byc,BYC
CJCGV,CJ CGV
CJENM,CJ ENM
CJ바이오사이언스,CJ 바이오사이언스
CSA코스믹,CSA 코스믹
Cbi,CBI
Cg인바이츠,CG인바이츠
Cj,CJ
Cj cgv,CJ CGV
Cj enm,CJ ENM
Cj 바이오사이언스,CJ 바이오사이언스
Cj대한통운,CJ대한통운
Cj씨푸드,CJ씨푸드
Cj제일제당,CJ제일제당
Cj프레시웨이,CJ프레시웨이
Cmg제약,CMG제약
Cnh,CNH
Cnt85,CNT85
Cs,CS
Csa 코스믹,CSA 코스믹
Cs홀딩스,CS홀딩스
Db,DB
Db금융스팩11호,DB금융스팩11호
Db금융투자,DB금융투자
Db손해보험,DB손해보험
Db하이텍,DB하이텍
Dgb금융지주,DGB금융지주
Dgi,DGI
Dgp,DGP
Dh오토넥스,DH오토넥스
Dh오토리드,DH오토리드
Dh오토웨어,DH오토웨어
Dl,DL
Dl이앤씨,DL이앤씨
Dms,DMS
Dn오토모티브,DN오토모티브
Drb동일,DRB동일
Dsc인베스트먼트,DSC인베스트먼트
Dsr,DSR
Dsr제강,DSR제강
Ds단석,DS단석
Dxvx,DXVX
Edgc,EDGC
Eg,EG
Emb,EMB
Esr켄달스퀘어리츠,ESR켄달스퀘어리츠
Es큐브,ES큐브
F&F홀딩스,F&F 홀딩스
F&f,F&F
F&f 홀딩스,F&F 홀딩스
Fsn,FSN
Gh신소재,GH신소재
Gkl,GKL
Grt,GRT
Gs,GS
Gst,GST
Gs건설,GS건설
Gs글로벌,GS글로벌
Gs리테일,GS리테일
Gs피앤엘,GS피앤엘
HLD&I,HL D&I
Hb솔루션,HB솔루션
Hb인베스트먼트,HB인베스트먼트
Hb테크놀러지,HB테크놀러지
Hdc,HDC
Hdc랩스,HDC랩스
Hdc현대ep,HDC현대EP
Hdc현대산업개발,HDC현대산업개발
Hd한국조선해양,HD한국조선해양
Hd현대,HD현대
Hd현대건설기계,HD현대건설기계
Hd현대마린솔루션,HD현대마린솔루션
Hd현대마린엔진,HD현대마린엔진
Hd현대미포,HD현대미포
Hd현대에너지솔루션,HD현대에너지솔루션
Hd현대인프라코어,HD현대인프라코어
Hd현대일렉트릭,HD현대일렉트릭
Hd현대중공업,HD현대중공업
Hj중공업,HJ중공업
Hk이노엔,HK이노엔
Hl d&i,HL D&I
Hlb,HLB
Hlb글로벌,HLB글로벌
Hlb바이오스텝,HLB바이오스텝
Hlb사이언스,HLB사이언스
Hlb생명과학,HLB생명과학
Hlb이노베이션,HLB이노베이션
Hlb제넥스,HLB제넥스
Hlb제약,HLB제약
Hlb테라퓨틱스,HLB테라퓨틱스
Hlb파나진,HLB파나진
Hl만도,HL만도
Hl홀딩스,HL홀딩스
Hmm,HMM
Hpsp,HPSP
Hrs,HRS
Hs애드,HS애드
Hs화성,HS화성
Hs효성,HS효성
Hs효성첨단소재,HS효성첨단소재
Ibks제20호스팩,IBKS제20호스팩
Ibks제21호스팩,IBKS제21호스팩
Ibks제22호스팩,IBKS제22호스팩
Ibks제23호스팩,IBKS제23호스팩
Ibks제24호스팩,IBKS제24호스팩
Imbc,iMBC
Isc,ISC
JYPEnt.,JYP Ent.
Jb금융지주,JB금융지주
Jtc,JTC
Jw생명과학,JW생명과학
Jw신약,JW신약
Jw중외제약,JW중외제약
Jw홀딩스,JW홀딩스
Jyp ent.,JYP Ent.
KH건설,KH 건설
KH미래물산,KH 미래물산
KH필룩스,KH 필룩스
Kbg,KBG
Kbi메탈,KBI메탈
Kb금융,KB금융
Kb발해인프라,KB발해인프라
Kb스타리츠,KB스타리츠
Kb오토시스,KB오토시스
Kb제25호스팩,KB제25호스팩
Kb제26호스팩,KB제26호스팩
Kb제27호스팩,KB제27호스팩
Kb제28호스팩,KB제28호스팩
Kb제29호스팩,KB제29호스팩
Kb제30호스팩,KB제30호스팩
Kb제31호스팩,KB제31호스팩
Kcc건설,KCC건설
Kci,KCI
Kc그린홀딩스,KC그린홀딩스
Kc산업,KC산업
Kc코트렐,KC코트렐
Kd,KD
Kec,KEC
Kg모빌리언스,KG모빌리언스
Kg모빌리티,KG모빌리티
Kg스틸,KG스틸
Kg에코솔루션,KG에코솔루션
Kg이니시스,KG이니시스
Kg케미칼,KG케미칼
Kh 건설,KH 건설
Kh 미래물산,KH 미래물산
Kh 필룩스,KH 필룩스
Kh바텍,KH바텍
Kib플러그에너지,KIB플러그에너지
Kisco홀딩스,KISCO홀딩스
Knn,KNN
Kpx케미칼,KPX케미칼
Kpx홀딩스,KPX홀딩스
Kr모터스,KR모터스
Kss해운,KSS해운
Ks인더스트리,KS인더스트리
Ktcs,KTcs
Ktis,KTis
Kx,KX
Kx하이텍,KX하이텍
Lb세미콘,LB세미콘
Lb인베스트먼트,LB인베스트먼트
Lf,LF
Lg,LG
Lg디스플레이,LG디스플레이
Lg생활건강,LG생활건강
Lg씨엔에스,LG씨엔에스
Lg에너지솔루션,LG에너지솔루션
Lg유플러스,LG유플러스
Lg이노텍,LG이노텍
Lg전자,LG전자
Lg헬로비전,LG헬로비전
Lg화학,LG화학
Lig넥스원,LIG넥스원
Lk삼양,LK삼양
Ls,LS
Ls네트웍스,LS네트웍스
Ls마린솔루션,LS마린솔루션
Ls머트리얼즈,LS머트리얼즈
Ls에코에너지,LS에코에너지
Ls증권,LS증권
Lx세미콘,LX세미콘
Lx인터내셔널,LX인터내셔널
Lx하우시스,LX하우시스
Lx홀딩스,LX홀딩스
Mds테크,MDS테크
Mh에탄올,MH에탄올
Mit,MIT
NC,엔씨소프트
NHNKCP,NHN KCP
Naver,NAVER
New,NEW
Ne능률,NE능률
Nhn kcp,NHN KCP
Nhn벅스,NHN벅스
Nh올원리츠,NH올원리츠
Nh투자증권,NH투자증권
Nh프라임리츠,NH프라임리츠
Nice,NICE
Nice평가정보,NICE평가정보
Ni스틸,NI스틸
Npx,NPX
Oci,OCI
Oci홀딩스,OCI홀딩스
Pi첨단소재,PI첨단소재
Pn풍년,PN풍년
Posco홀딩스,POSCO홀딩스
Rfhic,RFHIC
Rf머트리얼즈,RF머트리얼즈
Rf시스템즈,RF시스템즈
S&k폴리텍,S&K폴리텍
S-oil,S-Oil
SGCE&C,SGC E&C
SMC&C,SM C&C
SMLifeDesign,SM Life Design
SOil,S-Oil
Samg엔터,SAMG엔터
Sbi인베스트먼트,SBI인베스트먼트
Sbi핀테크솔루션즈,SBI핀테크솔루션즈
Sbs,SBS
Sci평가정보,SCI평가정보
Scl사이언스,SCL사이언스
Sdn,SDN
Sfa반도체,SFA반도체
Sg,SG
Sg&g,SG&G
Sga,SGA
Sga솔루션즈,SGA솔루션즈
Sgc e&c,SGC E&C
Sgc에너지,SGC에너지
Sg글로벌,SG글로벌
Sg세계물산,SG세계물산
Shd,SHD
Sh에너지화학,SH에너지화학
Simpac,SIMPAC
Sjg세종,SJG세종
Sk,SK
Skai,SKAI
Skc,SKC
Sk가스,SK가스
Sk네트웍스,SK네트웍스
Sk디스커버리,SK디스커버리
Sk디앤디,SK디앤디
Sk리츠,SK리츠
Sk바이오사이언스,SK바이오사이언스
Sk스퀘어,SK스퀘어
Sk시그넷,SK시그넷
Sk아이이테크놀로지,SK아이이테크놀로지
Sk오션플랜트,SK오션플랜트
Sk이노베이션,SK이노베이션
Sk이터닉스,SK이터닉스
Sk증권,SK증권
Sk증권제10호스팩,SK증권제10호스팩
Sk증권제11호스팩,SK증권제11호스팩
Sk증권제12호스팩,SK증권제12호스팩
Sk증권제13호스팩,SK증권제13호스팩
Sk증권제8호스팩,SK증권제8호스팩
Sk증권제9호스팩,SK증권제9호스팩
Sk케미칼,SK케미칼
Sk텔레콤,SK텔레콤
Sk하이닉스,SK하이닉스
Sm c&c,SM C&C
Sm life design,SM Life Design
Snt다이내믹스,SNT다이내믹스
Snt모티브,SNT모티브
Snt에너지,SNT에너지
Snt홀딩스,SNT홀딩스
Soop,SOOP
Spc삼립,SPC삼립
Stx,STX
Stx그린로지스,STX그린로지스
Stx엔진,STX엔진
Sun&l,SUN&L
Sv인베스트먼트,SV인베스트먼트
THEE&M,THE E&M
Tcc스틸,TCC스틸
The e&m,THE E&M
Tj미디어,TJ미디어
Tkg애강,TKG애강
Tp,TP
Tpc,TPC
Ts인베스트먼트,TS인베스트먼트
Ts트릴리온,TS트릴리온
Tym,TYM
Wiscom,WISCOM
YGPLUS,YG PLUS
Ybm넷,YBM넷
Yg plus,YG PLUS
Ytn,YTN
Yw,YW
aj네트웍스,AJ네트웍스
ak홀딩스,AK홀딩스
aps,APS
ap시스템,AP시스템
ap위성,AP위성
ap헬스케어,AP헬스케어
bf랩스,BF랩스
bgf,BGF
bgf리테일,BGF리테일
bgf에코머티리얼즈,BGF에코머티리얼즈
bnk금융지주,BNK금융지주
byc,BYC
cbi,CBI
cg인바이츠,CG인바이츠
cj,CJ
cj cgv,CJ CGV
cj enm,CJ ENM
cj 바이오사이언스,CJ 바이오사이언스
cj대한통운,CJ대한통운
cj씨푸드,CJ씨푸드
cj제일제당,CJ제일제당
cj프레시웨이,CJ프레시웨이
cmg제약,CMG제약
cnh,CNH
cnt85,CNT85
cs,CS
csa 코스믹,CSA 코스믹
cs홀딩스,CS홀딩스
db,DB
db금융스팩11호,DB금융스팩11호
db금융투자,DB금융투자
db손해보험,DB손해보험
db하이텍,DB하이텍
dgb금융지주,DGB금융지주
dgi,DGI
dgp,DGP
dh오토넥스,DH오토넥스
dh오토리드,DH오토리드
dh오토웨어,DH오토웨어
dl,DL
dl이앤씨,DL이앤씨
dms,DMS
dn오토모티브,DN오토모티브
drb동일,DRB동일
dsc인베스트먼트,DSC인베스트먼트
dsr,DSR
dsr제강,DSR제강
ds단석,DS단석
dxvx,DXVX
e1,E1
edgc,EDGC
eg,EG
emb,EMB
esr켄달스퀘어리츠,ESR켄달스퀘어리츠
es큐브,ES큐브
f&f,F&F
f&f 홀딩스,F&F 홀딩스
fsn,FSN
gh신소재,GH신소재
gkl,GKL
grt,GRT
gs,GS
gst,GST
gs건설,GS건설
gs글로벌,GS글로벌
gs리테일,GS리테일
gs피앤엘,GS피앤엘
hb솔루션,HB솔루션
hb인베스트먼트,HB인베스트먼트
hb테크놀러지,HB테크놀러지
hdc,HDC
hdc랩스,HDC랩스
hdc현대ep,HDC현대EP
hdc현대산업개발,HDC현대산업개발
hd한국조선해양,HD한국조선해양
hd현대,HD현대
hd현대건설기계,HD현대건설기계
hd현대마린솔루션,HD현대마린솔루션
hd현대마린엔진,HD현대마린엔진
hd현대미포,HD현대미포
hd현대에너지솔루션,HD현대에너지솔루션
hd현대인프라코어,HD현대인프라코어
hd현대일렉트릭,HD현대일렉트릭
hd현대중공업,HD현대중공업
hj중공업,HJ중공업
hk이노엔,HK이노엔
hl d&i,HL D&I
hlb,HLB
hlb글로벌,HLB글로벌
hlb바이오스텝,HLB바이오스텝
hlb사이언스,HLB사이언스
hlb생명과학,HLB생명과학
hlb이노베이션,HLB이노베이션
hlb제넥스,HLB제넥스
hlb제약,HLB제약
hlb테라퓨틱스,HLB테라퓨틱스
hlb파나진,HLB파나진
hl만도,HL만도
hl홀딩스,HL홀딩스
hmall,현대홈쇼핑
hmm,HMM
hpsp,HPSP
hrs,HRS
hs애드,HS애드
hs화성,HS화성
hs효성,HS효성
hs효성첨단소재,HS효성첨단소재
ibks제20호스팩,IBKS제20호스팩
ibks제21호스팩,IBKS제21호스팩
ibks제22호스팩,IBKS제22호스팩
ibks제23호스팩,IBKS제23호스팩
ibks제24호스팩,IBKS제24호스팩
imbc,iMBC
isc,ISC
jb금융지주,JB금융지주
jtc,JTC
jw생명과학,JW생명과학
jw신약,JW신약
jw중외제약,JW중외제약
jw홀딩스,JW홀딩스
jyp ent.,JYP Ent.
kbg,KBG
kbi메탈,KBI메탈
kb금융,KB금융
kb발해인프라,KB발해인프라
kb스타리츠,KB스타리츠
kb오토시스,KB오토시스
kb제25호스팩,KB제25호스팩
kb제26호스팩,KB제26호스팩
kb제27호스팩,KB제27호스팩
kb제28호스팩,KB제28호스팩
kb제29호스팩,KB제29호스팩
kb제30호스팩,KB제30호스팩
kb제31호스팩,KB제31호스팩
kcc건설,KCC건설
kci,KCI
kc그린홀딩스,KC그린홀딩스
kc산업,KC산업
kc코트렐,KC코트렐
kd,KD
kec,KEC
kg모빌리언스,KG모빌리언스
kg모빌리티,KG모빌리티
kg스틸,KG스틸
kg에코솔루션,KG에코솔루션
kg이니시스,KG이니시스
kg케미칼,KG케미칼
kh 건설,KH 건설
kh 미래물산,KH 미래물산
kh 필룩스,KH 필룩스
kh바텍,KH바텍
kib플러그에너지,KIB플러그에너지
kisco홀딩스,KISCO홀딩스
knn,KNN
kpx케미칼,KPX케미칼
kpx홀딩스,KPX홀딩스
kr모터스,KR모터스
kss해운,KSS해운
ks인더스트리,KS인더스트리
ktcs,KTcs
ktis,KTis
kx,KX
kx하이텍,KX하이텍
lb세미콘,LB세미콘
lb인베스트먼트,LB인베스트먼트
lf,LF
lg,LG
lg디스플레이,LG디스플레이
lg생활건강,LG생활건강
lg씨엔에스,LG씨엔에스
lg에너지솔루션,LG에너지솔루션
lg유플러스,LG유플러스
lg이노텍,LG이노텍
lg전자,LG전자
lg헬로비전,LG헬로비전
lg화학,LG화학
lig넥스원,LIG넥스원
lk삼양,LK삼양
ls,LS
ls네트웍스,LS네트웍스
ls마린솔루션,LS마린솔루션
ls머트리얼즈,LS머트리얼즈
ls에코에너지,LS에코에너지
ls증권,LS증권
lx세미콘,LX세미콘
lx인터내셔널,LX인터내셔널
lx하우시스,LX하우시스
lx홀딩스,LX홀딩스
m83,M83
mds테크,MDS테크
mh에탄올,MH에탄올
mit,MIT
naver,NAVER
nc,엔씨소프트
new,NEW
ne능률,NE능률
nhn kcp,NHN KCP
nhn벅스,NHN벅스
nh올원리츠,NH올원리츠
nh투자증권,NH투자증권
nh프라임리츠,NH프라임리츠
nice,NICE
nice평가정보,NICE평가정보
ni스틸,NI스틸
npx,NPX
oci,OCI
oci홀딩스,OCI홀딩스
pi첨단소재,PI첨단소재
pn풍년,PN풍년
posco홀딩스,POSCO홀딩스
rfhic,RFHIC
rf머트리얼즈,RF머트리얼즈
rf시스템즈,RF시스템즈
s&k폴리텍,S&K폴리텍
s-oil,S-Oil
samg엔터,SAMG엔터
sbi인베스트먼트,SBI인베스트먼트
sbi핀테크솔루션즈,SBI핀테크솔루션즈
sbs,SBS
sci평가정보,SCI평가정보
scl사이언스,SCL사이언스
sdn,SDN
sfa반도체,SFA반도체
sg,SG
sg&g,SG&G
sga,SGA
sga솔루션즈,SGA솔루션즈
sgc e&c,SGC E&C
sgc에너지,SGC에너지
sg글로벌,SG글로벌
sg세계물산,SG세계물산
shd,SHD
sh에너지화학,SH에너지화학
simpac,SIMPAC
sjg세종,SJG세종
sk,SK
skai,SKAI
skc,SKC
sk가스,SK가스
sk네트웍스,SK네트웍스
sk디스커버리,SK디스커버리
sk디앤디,SK디앤디
sk리츠,SK리츠
sk바이오사이언스,SK바이오사이언스
sk스퀘어,SK스퀘어
sk시그넷,SK시그넷
sk아이이테크놀로지,SK아이이테크놀로지
sk오션플랜트,SK오션플랜트
sk이노베이션,SK이노베이션
sk이터닉스,SK이터닉스
sk증권,SK증권
sk증권제10호스팩,SK증권제10호스팩
sk증권제11호스팩,SK증권제11호스팩
sk증권제12호스팩,SK증권제12호스팩
sk증권제13호스팩,SK증권제13호스팩
sk증권제8호스팩,SK증권제8호스팩
sk증권제9호스팩,SK증권제9호스팩
sk케미칼,SK케미칼
sk텔레콤,SK텔레콤
sk하이닉스,SK하이닉스
sm c&c,SM C&C
sm life design,SM Life Design
snt다이내믹스,SNT다이내믹스
snt모티브,SNT모티브
snt에너지,SNT에너지
snt홀딩스,SNT홀딩스
soop,SOOP
spc삼립,SPC삼립
stx,STX
stx그린로지스,STX그린로지스
stx엔진,STX엔진
sun&l,SUN&L
sv인베스트먼트,SV인베스트먼트
tcc스틸,TCC스틸
the e&m,THE E&M
tj미디어,TJ미디어
tkg애강,TKG애강
tp,TP
tpc,TPC
ts인베스트먼트,TS인베스트먼트
ts트릴리온,TS트릴리온
tym,TYM
wiscom,WISCOM
ybm넷,YBM넷
yg plus,YG PLUS
ytn,YTN
yw,YW
기아차,기아
나우ib,나우IB
네이버,NAVER
대산f&b,대산F&B
대체 입력 가능 예시,공식 종목명
동국s&c,동국S&C
동원f&b,동원F&B
마음ai,마음AI
무림p&p,무림P&P
무림sp,무림SP
백금t&a,백금T&A
비보존제약,비보존 제약
비큐ai,비큐AI
삼성SDS,삼성에스디에스
삼성e&a,삼성E&A
삼성fn리츠,삼성FN리츠
삼성sdi,삼성SDI
삼성스펙9호,삼성스팩9호
삼익thk,삼익THK
삼전,삼성전자
서부t&d,서부T&D
세림b&g,세림B&G
세이브존i&c,세이브존I&C
셀바스ai,셀바스AI
신세계i&c,신세계I&C
신한,신한지주
아시아나idt,아시아나IDT
아주ib투자,아주IB투자
아즈텍wb,아즈텍WB
엔씨,엔씨소프트
엘지,LG
엘지디스플레이,LG디스플레이
엘지생활건강,LG생활건강
엘지씨엔에스,LG씨엔에스
엘지에너지솔루션,LG에너지솔루션
엘지엔솔,LG에너지솔루션
엘지유플러스,LG유플러스
엘지이노텍,LG이노텍
엘지전자,LG전자
엘지헬로비전,LG헬로비전
엘지화학,LG화학
와이지원,와이지-원
우수ams,우수AMS
원익ips,원익IPS
원익qnc,원익QnC
조광ili,조광ILI
지앤비에스에코,지앤비에스 에코
청호ict,청호ICT
카뱅,카카오뱅크
코오롱enp,코오롱ENP
태양3c,태양3C
텔콘rf제약,텔콘RF제약
포스코dx,포스코DX
폴라리스ai,폴라리스AI
폴라리스ai파마,폴라리스AI파마
한국ankor유전,한국ANKOR유전
한국경제tv,한국경제TV
한라ims,한라IMS
한울bnc,한울BnC
한전kps,한전KPS
현기차,현대자동차
현대Autoever,현대오토에버
현대E&C,현대건설
현대HT,현대에이치티
현대HYMS,현대힘스
현대adm,현대ADM
현대bngsteel,현대비앤지스틸
현대ezwel,현대이지웰
현대ht,현대에이치티
현대livart,현대리바트
현대mobis,현대모비스
현대엘베,현대엘리베이터
현대차,현대자동차
현차,현대자동차
형지i&c,형지I&C
효성 itx,효성 ITX
효성ITX,효성 ITX
